height,expcost,expcost_given_failure,runtime
0,2135.592084395207,594.9973980631972,0.19534030000068014
1,1137.2713897029869,570.9727177341449,0.006678600002487656
2,1137.4685544767897,686.5421575707826,0.009497200000623707
3,1137.4854209297596,707.903857590186,0.00994850000279257
4,1137.4854209297596,707.903857590186,0.008366199996089563
